1	679660.62152	4830046.951461	"2449984544"
2	684722.568283	4831432.964092	"239261886_1_rL0"
3	679340.985797	4827229.861727	"80724498"
4	681623.688732	4825288.811624	"80652995"
5	683216.718123	4825960.54061	"1350850740"
6	684769.299168	4828188.762502	"80647529"
7	686153.78067	4825931.656961	"1924976149"
8	684827.393969	4825782.924326	"80808136"
9	683258.255517	4824529.58592	"80671946"
10	683400.798485	4823808.63716	"80654705"
11	681660.802371	4824043.793389	"80692339"
12	679484.110161	4821733.71182	"2446664131"
13	678947.933359	4819964.925569	"236020330_0_rL0"
14	681713.442837	4822067.244539	"80692368"
15	683325.784376	4822109.388362	"80710592"
16	684875.485819	4824284.862943	"80808364"
17	684899.929191	4823471.667717	"1374415912"
18	686500.685875	4823811.275592	"1375430091"
19	684943.087573	4822147.132199	"80661740"
20	685829.190495	4819746.431401	"80742910"
21	683401.100525	4819653.378349	"80710634"
22	683360.685022	4820898.651338	"80710606"
23	680959.924243	4820423.634707	"80693063"
24	681553.10145	4819350.764287	"80664801"